"","YEAR","AGE","income_bound","EDUC","female","religious","married","widowed","divorced","separated","have_children","white","happy","ft_employed","pt_employed","unemployed","retired","in_education","home_maker","work_status_other","c_age"
"248",1991,83,8,11,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,36.6538857163126
"249",1991,70,15,12,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,23.6538857163126
"250",1991,28,2,11,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,-18.3461142836874
"251",1991,25,18,16,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,-21.3461142836874
"252",1991,43,8,8,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,-3.34611428368744
"253",1991,39,18,16,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,-7.34611428368744
"254",1991,27,16,12,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,-19.3461142836874
"256",1991,40,17,17,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,-6.34611428368744
"257",1991,27,18,9,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,-19.3461142836874
"258",1991,40,20,16,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,-6.34611428368744
"259",1991,21,18,13,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,-25.3461142836874
"261",1991,53,21,16,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,6.65388571631256
"262",1991,39,19,13,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,-7.34611428368744
"263",1991,30,18,16,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,-16.3461142836874
"264",1991,47,19,14,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0.653885716312558
"265",1991,32,20,19,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,-14.3461142836874
"267",1991,46,21,9,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,-0.346114283687442
"268",1991,49,11,14,0,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,2.65388571631256
"269",1991,73,2,12,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,26.6538857163126
"270",1991,24,18,12,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,-22.3461142836874
"271",1991,84,5,8,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,37.6538857163126
"273",1991,27,16,11,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,-19.3461142836874
"274",1991,40,11,10,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,-6.34611428368744
"275",1991,27,11,12,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,-19.3461142836874
"276",1991,43,18,14,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,-3.34611428368744
"277",1991,65,16,16,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,18.6538857163126
"278",1991,35,18,15,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,-11.3461142836874
"279",1991,25,19,16,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,-21.3461142836874
"280",1991,58,18,11,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,11.6538857163126
"282",1991,53,11,9,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,6.65388571631256
"283",1991,70,11,12,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,23.6538857163126
"284",1991,35,18,16,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,-11.3461142836874
"285",1991,47,11,12,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0.653885716312558
"286",1991,61,13,15,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,14.6538857163126
"287",1991,35,16,17,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,-11.3461142836874
"289",1991,70,16,12,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,23.6538857163126
"290",1991,67,17,12,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,20.6538857163126
"291",1991,35,19,17,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,-11.3461142836874
"292",1991,43,20,12,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,-3.34611428368744
"293",1991,73,18,14,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,26.6538857163126
"294",1991,35,18,15,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,-11.3461142836874
